time,power,energy_generation_costs,unit,heat,simulation
2023-01-13 00:00:00,0,0,demand_unit_0,,world_script_simulation
2023-01-13 00:15:00,-0.01,30,demand_unit_0,,world_script_simulation
2023-01-13 00:30:00,-0.005,15,demand_unit_0,,world_script_simulation
2023-01-13 00:45:00,-0.005,15,demand_unit_0,,world_script_simulation
2023-01-13 01:00:00,-0.01,30,demand_unit_0,,world_script_simulation
2023-01-13 00:00:00,0,0,demand_unit_1,,world_script_simulation
2023-01-13 00:15:00,-0.005,15,demand_unit_1,,world_script_simulation
2023-01-13 00:30:00,-0.01,30,demand_unit_1,,world_script_simulation
2023-01-13 00:45:00,-0.01,30,demand_unit_1,,world_script_simulation
2023-01-13 01:00:00,-0.005,15,demand_unit_1,,world_script_simulation
2023-01-13 00:00:00,0,0,nucular_unit_0,0,world_script_simulation
2023-01-13 00:15:00,0.015,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 00:30:00,0.015,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 00:45:00,0.015,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 01:00:00,0.015,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 01:15:00,-0.01,30,-0.015,demand_unit_0,,world_script_simulation
2023-01-13 01:30:00,-0.01,30,-0.015,demand_unit_0,,world_script_simulation
2023-01-13 01:45:00,-0.01,30,-0.015,demand_unit_0,,world_script_simulation
2023-01-13 02:00:00,-0.01,30,-0.015,demand_unit_0,,world_script_simulation
2023-01-13 01:15:00,-0.005,15,-0.0075,demand_unit_1,,world_script_simulation
2023-01-13 01:30:00,-0.005,15,-0.0075,demand_unit_1,,world_script_simulation
2023-01-13 01:45:00,-0.005,15,-0.0075,demand_unit_1,,world_script_simulation
2023-01-13 02:00:00,-0.005,15,-0.0075,demand_unit_1,,world_script_simulation
2023-01-13 01:15:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 01:30:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 01:45:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 02:00:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 02:15:00,-0.01,30,-0.015,demand_unit_0,,world_script_simulation
2023-01-13 02:30:00,-0.01,30,-0.015,demand_unit_0,,world_script_simulation
2023-01-13 02:45:00,-0.005,15,-0.0075,demand_unit_0,,world_script_simulation
2023-01-13 03:00:00,-0.01,30,-0.015,demand_unit_0,,world_script_simulation
2023-01-13 02:15:00,-0.005,15,-0.0075,demand_unit_1,,world_script_simulation
2023-01-13 02:30:00,-0.005,15,-0.0075,demand_unit_1,,world_script_simulation
2023-01-13 02:45:00,-0.01,30,-0.015,demand_unit_1,,world_script_simulation
2023-01-13 03:00:00,-0.005,15,-0.0075,demand_unit_1,,world_script_simulation
2023-01-13 02:15:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 02:30:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 02:45:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 03:00:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 03:15:00,-0.005,15,-0.0075,demand_unit_0,,world_script_simulation
2023-01-13 03:30:00,-0.005,15,-0.0075,demand_unit_0,,world_script_simulation
2023-01-13 03:45:00,-0.005,15,-0.0075,demand_unit_0,,world_script_simulation
2023-01-13 04:00:00,-0.005,15,-0.0075,demand_unit_0,,world_script_simulation
2023-01-13 03:15:00,-0.01,30,-0.015,demand_unit_1,,world_script_simulation
2023-01-13 03:30:00,-0.01,30,-0.015,demand_unit_1,,world_script_simulation
2023-01-13 03:45:00,-0.01,30,-0.015,demand_unit_1,,world_script_simulation
2023-01-13 04:00:00,-0.01,30,-0.015,demand_unit_1,,world_script_simulation
2023-01-13 03:15:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 03:30:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 03:45:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 04:00:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 04:15:00,-0.005,15,-0.0075,demand_unit_0,,world_script_simulation
2023-01-13 04:30:00,-0.005,15,-0.0075,demand_unit_0,,world_script_simulation
2023-01-13 04:45:00,-0.005,15,-0.0075,demand_unit_0,,world_script_simulation
2023-01-13 05:00:00,-0.005,15,-0.0075,demand_unit_0,,world_script_simulation
2023-01-13 04:15:00,-0.01,30,-0.015,demand_unit_1,,world_script_simulation
2023-01-13 04:30:00,-0.01,30,-0.015,demand_unit_1,,world_script_simulation
2023-01-13 04:45:00,-0.01,30,-0.015,demand_unit_1,,world_script_simulation
2023-01-13 05:00:00,-0.01,30,-0.015,demand_unit_1,,world_script_simulation
2023-01-13 04:15:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 04:30:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 04:45:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 05:00:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 05:15:00,-0.01,30,-0.015,demand_unit_0,,world_script_simulation
2023-01-13 05:30:00,-0.005,15,-0.0075,demand_unit_0,,world_script_simulation
2023-01-13 05:45:00,-0.005,15,-0.0075,demand_unit_0,,world_script_simulation
2023-01-13 06:00:00,-0.005,15,-0.0075,demand_unit_0,,world_script_simulation
2023-01-13 05:15:00,-0.005,15,-0.0075,demand_unit_1,,world_script_simulation
2023-01-13 05:30:00,-0.01,30,-0.015,demand_unit_1,,world_script_simulation
2023-01-13 05:45:00,-0.01,30,-0.015,demand_unit_1,,world_script_simulation
2023-01-13 06:00:00,-0.01,30,-0.015,demand_unit_1,,world_script_simulation
2023-01-13 05:15:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 05:30:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 05:45:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 06:00:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 06:15:00,-0.005,15,-0.0075,demand_unit_0,,world_script_simulation
2023-01-13 06:30:00,-0.01,30,-0.015,demand_unit_0,,world_script_simulation
2023-01-13 06:45:00,-0.01,30,-0.015,demand_unit_0,,world_script_simulation
2023-01-13 07:00:00,-0.005,15,-0.0075,demand_unit_0,,world_script_simulation
2023-01-13 06:15:00,-0.01,30,-0.015,demand_unit_1,,world_script_simulation
2023-01-13 06:30:00,-0.005,15,-0.0075,demand_unit_1,,world_script_simulation
2023-01-13 06:45:00,-0.005,15,-0.0075,demand_unit_1,,world_script_simulation
2023-01-13 07:00:00,-0.01,30,-0.015,demand_unit_1,,world_script_simulation
2023-01-13 06:15:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 06:30:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 06:45:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 07:00:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 07:15:00,-0.01,30,-0.015,demand_unit_0,,world_script_simulation
2023-01-13 07:30:00,-0.005,15,-0.0075,demand_unit_0,,world_script_simulation
2023-01-13 07:45:00,-0.01,30,-0.015,demand_unit_0,,world_script_simulation
2023-01-13 08:00:00,-0.005,15,-0.0075,demand_unit_0,,world_script_simulation
2023-01-13 07:15:00,-0.005,15,-0.0075,demand_unit_1,,world_script_simulation
2023-01-13 07:30:00,-0.01,30,-0.015,demand_unit_1,,world_script_simulation
2023-01-13 07:45:00,-0.005,15,-0.0075,demand_unit_1,,world_script_simulation
2023-01-13 08:00:00,-0.01,30,-0.015,demand_unit_1,,world_script_simulation
2023-01-13 07:15:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 07:30:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 07:45:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 08:00:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 08:15:00,-0.01,30,-0.015,demand_unit_0,,world_script_simulation
2023-01-13 08:30:00,-0.005,15,-0.0075,demand_unit_0,,world_script_simulation
2023-01-13 08:45:00,-0.005,15,-0.0075,demand_unit_0,,world_script_simulation
2023-01-13 09:00:00,-0.005,15,-0.0075,demand_unit_0,,world_script_simulation
2023-01-13 08:15:00,-0.005,15,-0.0075,demand_unit_1,,world_script_simulation
2023-01-13 08:30:00,-0.01,30,-0.015,demand_unit_1,,world_script_simulation
2023-01-13 08:45:00,-0.01,30,-0.015,demand_unit_1,,world_script_simulation
2023-01-13 09:00:00,-0.01,30,-0.015,demand_unit_1,,world_script_simulation
2023-01-13 08:15:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 08:30:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 08:45:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 09:00:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 09:15:00,-0.01,30,-0.015,demand_unit_0,,world_script_simulation
2023-01-13 09:30:00,-0.01,30,-0.015,demand_unit_0,,world_script_simulation
2023-01-13 09:45:00,-0.005,15,-0.0075,demand_unit_0,,world_script_simulation
2023-01-13 10:00:00,-0.01,30,-0.015,demand_unit_0,,world_script_simulation
2023-01-13 09:15:00,-0.005,15,-0.0075,demand_unit_1,,world_script_simulation
2023-01-13 09:30:00,-0.005,15,-0.0075,demand_unit_1,,world_script_simulation
2023-01-13 09:45:00,-0.01,30,-0.015,demand_unit_1,,world_script_simulation
2023-01-13 10:00:00,-0.005,15,-0.0075,demand_unit_1,,world_script_simulation
2023-01-13 09:15:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 09:30:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 09:45:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 10:00:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 10:15:00,-0.01,30,-0.015,demand_unit_0,,world_script_simulation
2023-01-13 10:30:00,-0.005,15,-0.0075,demand_unit_0,,world_script_simulation
2023-01-13 10:45:00,-0.005,15,-0.0075,demand_unit_0,,world_script_simulation
2023-01-13 11:00:00,-0.01,30,-0.015,demand_unit_0,,world_script_simulation
2023-01-13 10:15:00,-0.005,15,-0.0075,demand_unit_1,,world_script_simulation
2023-01-13 10:30:00,-0.01,30,-0.015,demand_unit_1,,world_script_simulation
2023-01-13 10:45:00,-0.01,30,-0.015,demand_unit_1,,world_script_simulation
2023-01-13 11:00:00,-0.005,15,-0.0075,demand_unit_1,,world_script_simulation
2023-01-13 10:15:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 10:30:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 10:45:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 11:00:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 11:15:00,-0.01,30,-0.015,demand_unit_0,,world_script_simulation
2023-01-13 11:30:00,-0.01,30,-0.015,demand_unit_0,,world_script_simulation
2023-01-13 11:45:00,-0.01,30,-0.015,demand_unit_0,,world_script_simulation
2023-01-13 12:00:00,-0.005,15,-0.0075,demand_unit_0,,world_script_simulation
2023-01-13 11:15:00,-0.005,15,-0.0075,demand_unit_1,,world_script_simulation
2023-01-13 11:30:00,-0.005,15,-0.0075,demand_unit_1,,world_script_simulation
2023-01-13 11:45:00,-0.005,15,-0.0075,demand_unit_1,,world_script_simulation
2023-01-13 12:00:00,-0.01,30,-0.015,demand_unit_1,,world_script_simulation
2023-01-13 11:15:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 11:30:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 11:45:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 12:00:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 12:15:00,-0.01,30,-0.015,demand_unit_0,,world_script_simulation
2023-01-13 12:30:00,-0.005,15,-0.0075,demand_unit_0,,world_script_simulation
2023-01-13 12:45:00,-0.01,30,-0.015,demand_unit_0,,world_script_simulation
2023-01-13 13:00:00,-0.005,15,-0.0075,demand_unit_0,,world_script_simulation
2023-01-13 12:15:00,-0.005,15,-0.0075,demand_unit_1,,world_script_simulation
2023-01-13 12:30:00,-0.01,30,-0.015,demand_unit_1,,world_script_simulation
2023-01-13 12:45:00,-0.005,15,-0.0075,demand_unit_1,,world_script_simulation
2023-01-13 13:00:00,-0.01,30,-0.015,demand_unit_1,,world_script_simulation
2023-01-13 12:15:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 12:30:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 12:45:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 13:00:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 13:15:00,-0.01,30,-0.015,demand_unit_0,,world_script_simulation
2023-01-13 13:30:00,-0.01,30,-0.015,demand_unit_0,,world_script_simulation
2023-01-13 13:45:00,-0.005,15,-0.0075,demand_unit_0,,world_script_simulation
2023-01-13 14:00:00,-0.005,15,-0.0075,demand_unit_0,,world_script_simulation
2023-01-13 13:15:00,-0.005,15,-0.0075,demand_unit_1,,world_script_simulation
2023-01-13 13:30:00,-0.005,15,-0.0075,demand_unit_1,,world_script_simulation
2023-01-13 13:45:00,-0.01,30,-0.015,demand_unit_1,,world_script_simulation
2023-01-13 14:00:00,-0.01,30,-0.015,demand_unit_1,,world_script_simulation
2023-01-13 13:15:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 13:30:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 13:45:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 14:00:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 14:15:00,-0.005,15,-0.0075,demand_unit_0,,world_script_simulation
2023-01-13 14:30:00,-0.01,30,-0.015,demand_unit_0,,world_script_simulation
2023-01-13 14:45:00,-0.01,30,-0.015,demand_unit_0,,world_script_simulation
2023-01-13 15:00:00,-0.01,30,-0.015,demand_unit_0,,world_script_simulation
2023-01-13 14:15:00,-0.01,30,-0.015,demand_unit_1,,world_script_simulation
2023-01-13 14:30:00,-0.005,15,-0.0075,demand_unit_1,,world_script_simulation
2023-01-13 14:45:00,-0.005,15,-0.0075,demand_unit_1,,world_script_simulation
2023-01-13 15:00:00,-0.005,15,-0.0075,demand_unit_1,,world_script_simulation
2023-01-13 14:15:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 14:30:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 14:45:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 15:00:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 15:15:00,-0.005,15,-0.0075,demand_unit_0,,world_script_simulation
2023-01-13 15:30:00,-0.01,30,-0.015,demand_unit_0,,world_script_simulation
2023-01-13 15:45:00,-0.01,30,-0.015,demand_unit_0,,world_script_simulation
2023-01-13 16:00:00,-0.005,15,-0.0075,demand_unit_0,,world_script_simulation
2023-01-13 15:15:00,-0.01,30,-0.015,demand_unit_1,,world_script_simulation
2023-01-13 15:30:00,-0.005,15,-0.0075,demand_unit_1,,world_script_simulation
2023-01-13 15:45:00,-0.005,15,-0.0075,demand_unit_1,,world_script_simulation
2023-01-13 16:00:00,-0.01,30,-0.015,demand_unit_1,,world_script_simulation
2023-01-13 15:15:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 15:30:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 15:45:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 16:00:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 16:15:00,-0.01,30,-0.015,demand_unit_0,,world_script_simulation
2023-01-13 16:30:00,-0.005,15,-0.0075,demand_unit_0,,world_script_simulation
2023-01-13 16:45:00,-0.005,15,-0.0075,demand_unit_0,,world_script_simulation
2023-01-13 17:00:00,-0.005,15,-0.0075,demand_unit_0,,world_script_simulation
2023-01-13 16:15:00,-0.005,15,-0.0075,demand_unit_1,,world_script_simulation
2023-01-13 16:30:00,-0.01,30,-0.015,demand_unit_1,,world_script_simulation
2023-01-13 16:45:00,-0.01,30,-0.015,demand_unit_1,,world_script_simulation
2023-01-13 17:00:00,-0.01,30,-0.015,demand_unit_1,,world_script_simulation
2023-01-13 16:15:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 16:30:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 16:45:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 17:00:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 17:15:00,-0.01,30,-0.015,demand_unit_0,,world_script_simulation
2023-01-13 17:30:00,-0.005,15,-0.0075,demand_unit_0,,world_script_simulation
2023-01-13 17:45:00,-0.005,15,-0.0075,demand_unit_0,,world_script_simulation
2023-01-13 18:00:00,-0.01,30,-0.015,demand_unit_0,,world_script_simulation
2023-01-13 17:15:00,-0.005,15,-0.0075,demand_unit_1,,world_script_simulation
2023-01-13 17:30:00,-0.01,30,-0.015,demand_unit_1,,world_script_simulation
2023-01-13 17:45:00,-0.01,30,-0.015,demand_unit_1,,world_script_simulation
2023-01-13 18:00:00,-0.005,15,-0.0075,demand_unit_1,,world_script_simulation
2023-01-13 17:15:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 17:30:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 17:45:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 18:00:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 18:15:00,-0.005,15,-0.0075,demand_unit_0,,world_script_simulation
2023-01-13 18:30:00,-0.01,30,-0.015,demand_unit_0,,world_script_simulation
2023-01-13 18:45:00,-0.005,15,-0.0075,demand_unit_0,,world_script_simulation
2023-01-13 19:00:00,-0.005,15,-0.0075,demand_unit_0,,world_script_simulation
2023-01-13 18:15:00,-0.01,30,-0.015,demand_unit_1,,world_script_simulation
2023-01-13 18:30:00,-0.005,15,-0.0075,demand_unit_1,,world_script_simulation
2023-01-13 18:45:00,-0.01,30,-0.015,demand_unit_1,,world_script_simulation
2023-01-13 19:00:00,-0.01,30,-0.015,demand_unit_1,,world_script_simulation
2023-01-13 18:15:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 18:30:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 18:45:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 19:00:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 19:15:00,-0.01,30,-0.015,demand_unit_0,,world_script_simulation
2023-01-13 19:30:00,-0.01,30,-0.015,demand_unit_0,,world_script_simulation
2023-01-13 19:45:00,-0.005,15,-0.0075,demand_unit_0,,world_script_simulation
2023-01-13 20:00:00,-0.005,15,-0.0075,demand_unit_0,,world_script_simulation
2023-01-13 19:15:00,-0.005,15,-0.0075,demand_unit_1,,world_script_simulation
2023-01-13 19:30:00,-0.005,15,-0.0075,demand_unit_1,,world_script_simulation
2023-01-13 19:45:00,-0.01,30,-0.015,demand_unit_1,,world_script_simulation
2023-01-13 20:00:00,-0.01,30,-0.015,demand_unit_1,,world_script_simulation
2023-01-13 19:15:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 19:30:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 19:45:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 20:00:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 20:15:00,-0.005,15,-0.0075,demand_unit_0,,world_script_simulation
2023-01-13 20:30:00,-0.005,15,-0.0075,demand_unit_0,,world_script_simulation
2023-01-13 20:45:00,-0.01,30,-0.015,demand_unit_0,,world_script_simulation
2023-01-13 21:00:00,-0.005,15,-0.0075,demand_unit_0,,world_script_simulation
2023-01-13 20:15:00,-0.01,30,-0.015,demand_unit_1,,world_script_simulation
2023-01-13 20:30:00,-0.01,30,-0.015,demand_unit_1,,world_script_simulation
2023-01-13 20:45:00,-0.005,15,-0.0075,demand_unit_1,,world_script_simulation
2023-01-13 21:00:00,-0.01,30,-0.015,demand_unit_1,,world_script_simulation
2023-01-13 20:15:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 20:30:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 20:45:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
